inclinacion_columna,angulo_cuello,ang_rodilla_izq,ang_rodilla_der,ang_codo_izq,ang_codo_der,inclinacion_hombros,inclinacion_caderas,ang_cadera_izq,ang_cadera_der,adelanto_cabeza,altura_cadera_relativa,asimetria_hombros,kp_nose_x,kp_nose_y,kp_left_eye_x,kp_left_eye_y,kp_right_eye_x,kp_right_eye_y,kp_left_ear_x,kp_left_ear_y,kp_right_ear_x,kp_right_ear_y,kp_left_shoulder_x,kp_left_shoulder_y,kp_right_shoulder_x,kp_right_shoulder_y,kp_left_elbow_x,kp_left_elbow_y,kp_right_elbow_x,kp_right_elbow_y,kp_left_wrist_x,kp_left_wrist_y,kp_right_wrist_x,kp_right_wrist_y,kp_left_hip_x,kp_left_hip_y,kp_right_hip_x,kp_right_hip_y,kp_left_knee_x,kp_left_knee_y,kp_right_knee_x,kp_right_knee_y,kp_left_ankle_x,kp_left_ankle_y,kp_right_ankle_x,kp_right_ankle_y,kp_left_heel_x,kp_left_heel_y,kp_right_heel_x,kp_right_heel_y,kp_left_foot_index_x,kp_left_foot_index_y,kp_right_foot_index_x,kp_right_foot_index_y,visibilidad_promedio,clase_nombre,clase_id,archivo
0.1862,144.7284,-1.0,136.7022,-1.0,161.6653,66.2759,47.5094,-1.0,175.1823,0.369792,-0.173187,0.146497,0.366542,-1.526439,0.297389,-1.604702,0.281472,-1.584718,0.162683,-1.56403,0.12831,-1.533297,0.163425,-1.073243,-0.169924,-0.926746,0.114227,-0.382436,-0.203096,-0.02867,0.152332,0.277507,0.007491,0.695264,0.069168,-0.06336,-0.069168,0.06336,0.110032,0.330031,0.049134,0.693782,-0.009103,0.43146,-0.220564,1.114371,-0.04352,0.457848,-0.330037,1.165096,0.088394,0.485465,0.034495,1.292903,0.8219,BIEN DE PIE,0,1.jpeg
1.6986,139.7954,170.6415,177.6249,-1.0,172.018,43.2183,78.1123,176.7635,173.1661,0.251085,-0.371457,0.006873,0.221444,-1.315151,0.19062,-1.37709,0.162493,-1.378659,0.099813,-1.348757,0.064818,-1.346213,-0.032871,-0.996124,-0.026413,-1.002997,-0.024915,-0.442398,0.052478,-0.41154,0.093062,0.005526,0.194321,0.097187,-0.004447,0.000936,0.004447,-0.000936,-0.02282,0.657264,-0.059744,0.722585,-0.128542,1.203089,-0.140159,1.337952,-0.205408,1.31939,-0.213748,1.460386,0.136408,1.293638,0.164158,1.507464,0.8901,BIEN DE PIE,0,11.jpeg
0.848,140.3653,178.3186,173.0035,-1.0,158.1927,87.2835,83.8832,176.226,179.4483,0.283092,-0.301841,0.007568,0.268292,-1.352153,0.228051,-1.422777,0.199596,-1.423454,0.142518,-1.393766,0.085792,-1.389321,0.064956,-0.996106,-0.094555,-1.003675,0.074348,-0.458737,-0.059674,-0.379843,0.15267,-0.02389,0.161229,0.093718,0.053065,-0.005687,-0.053065,0.005687,0.00721,0.581968,-0.032726,0.652126,-0.042452,1.043366,-0.082693,1.201773,-0.11185,1.149844,-0.148253,1.286333,0.197172,1.104969,0.192936,1.395876,0.9265,BIEN DE PIE,0,12.jpeg
1.0965,138.6363,172.8755,174.2189,-1.0,161.603,79.0541,27.4521,175.279,178.7647,0.310863,-0.306424,0.008151,0.33,-1.339536,0.282273,-1.415184,0.262309,-1.413856,0.175387,-1.393118,0.153595,-1.392015,0.04021,-1.003892,-0.001936,-0.995741,0.039808,-0.419037,0.011853,-0.357186,0.123238,-0.00258,0.191127,0.145328,0.00483,-0.009298,-0.00483,0.009298,0.032613,0.583425,-0.021341,0.684714,-0.011256,1.148301,-0.101601,1.321704,-0.081948,1.234387,-0.17918,1.449151,0.233618,1.251764,0.189068,1.434944,0.9052,BIEN DE PIE,0,13.jpeg
6.9273,140.6676,172.6675,170.442,-1.0,160.6082,71.1975,80.1416,171.3617,172.9179,0.258016,-0.253182,0.02298,0.137406,-1.399188,0.077928,-1.455665,0.061555,-1.450284,-0.012841,-1.404823,-0.044284,-1.392507,-0.086863,-1.00419,-0.154357,-0.98121,-0.078196,-0.427038,-0.147964,-0.360588,0.017542,0.030983,0.032193,0.134876,0.021944,-0.003813,-0.021944,0.003813,-0.002021,0.56073,-0.015679,0.629133,-0.089249,1.067661,-0.108349,1.215285,-0.16535,1.166766,-0.179808,1.301997,0.162068,1.119963,0.16642,1.383813,0.8887,BIEN DE PIE,0,14.jpeg
6.0059,128.6844,159.1791,176.6679,-1.0,73.253,2.1065,47.8913,179.648,172.8111,0.269648,-0.256785,0.054679,0.165017,-1.26126,0.126402,-1.342187,0.110681,-1.34183,0.024536,-1.33253,0.013367,-1.325435,-0.105637,-1.021851,-0.103626,-0.967171,0.095996,-0.711766,0.088384,-0.338885,0.257992,-0.811495,0.380731,-0.534156,0.026027,-0.023525,-0.026027,0.023525,0.0893,0.48008,-0.053536,0.604644,-0.032206,0.980043,-0.048037,1.111331,-0.077374,1.081903,-0.107355,1.19627,0.276728,1.068956,0.243359,1.18924,0.919,BIEN DE PIE,0,15.jpeg
3.2256,127.983,164.6169,173.4815,-1.0,73.5462,18.9022,4.887,173.5434,179.9587,0.322308,-0.25041,0.094749,0.26604,-1.28066,0.239521,-1.355979,0.220748,-1.351174,0.120062,-1.359636,0.105715,-1.350732,-0.040045,-1.04579,-0.072489,-0.951041,0.123467,-0.607471,0.084745,-0.362151,0.379064,-0.669657,0.434682,-0.57578,-0.002962,-0.034648,0.002962,0.034648,0.079786,0.5153,0.051255,0.659622,0.02314,0.988514,0.030071,1.23735,-0.048686,1.077333,-0.016229,1.336289,0.28058,1.030056,0.355628,1.278167,0.915,BIEN DE PIE,0,16.jpeg
2.4977,137.6885,-1.0,148.2281,-1.0,78.7536,9.6349,55.9269,-1.0,179.0602,0.318322,-0.270175,0.116788,0.274742,-1.380925,0.231382,-1.46169,0.218754,-1.445511,0.112997,-1.430742,0.114278,-1.408475,-0.053493,-1.057444,-0.033666,-0.940656,0.086763,-0.613454,0.150887,-0.315208,0.429286,-0.714021,0.563421,-0.531668,-0.050067,-0.033864,0.050067,0.033864,-0.04009,0.625203,0.127452,0.789063,-0.12556,1.173852,-0.134337,1.327691,-0.249675,1.278673,-0.251555,1.40367,0.078705,1.241368,0.101394,1.432351,0.8845,BIEN DE PIE,0,17.jpeg
2.025,150.5782,179.5117,176.0069,-1.0,156.9161,78.7177,83.3741,171.7976,173.5081,0.17112,-0.238754,0.028089,0.135784,-1.329545,0.087579,-1.378557,0.065834,-1.374218,0.019454,-1.339892,-0.014932,-1.338247,0.035064,-0.985331,-0.105736,-1.01342,-0.002174,-0.492059,-0.135892,-0.439339,0.059907,-0.124949,0.031964,0.019922,0.060365,-0.007012,-0.060365,0.007012,-0.003897,0.538298,-0.101669,0.605804,-0.071159,1.070032,-0.101193,1.185448,-0.118493,1.155013,-0.157907,1.276077,0.177789,1.122258,0.172589,1.27409,0.9116,BIEN DE PIE,0,1770778606078.jpg
0.4625,139.6374,-1.0,175.6586,-1.0,124.837,89.697,79.8478,-1.0,178.7365,0.259706,-0.157403,0.001013,0.251634,-1.310571,0.221451,-1.391972,0.188962,-1.391579,0.11137,-1.38792,0.071579,-1.377329,0.087759,-0.999461,-0.103904,-1.000474,0.302708,-0.589006,0.190201,-0.514359,0.710641,-0.525001,0.682218,-0.482864,0.060019,-0.010747,-0.060019,0.010747,0.084576,0.595763,-0.01753,0.659289,-0.00315,1.125259,-0.023676,1.253116,-0.063531,1.216928,-0.087258,1.336718,0.219127,1.241273,0.235647,1.412804,0.8811,BIEN DE PIE,0,1770857357035.jpg
2.0958,153.7602,170.6576,178.4706,158.6398,153.5266,80.5682,85.0025,175.9257,173.2165,0.161357,-0.241315,0.076983,0.124787,-1.359307,0.137872,-1.413974,0.043959,-1.425512,0.114615,-1.383817,-0.086952,-1.388271,0.195138,-0.96084,-0.268278,-1.037822,0.295377,-0.488912,-0.437285,-0.524255,0.538159,-0.12004,-0.364325,-0.021547,0.131407,-0.011491,-0.131407,0.011491,0.133785,0.571308,-0.124424,0.628837,0.050162,1.092882,-0.133197,1.19909,-0.028735,1.172352,-0.198709,1.271625,0.240697,1.198482,0.063445,1.347211,0.9651,BIEN DE PIE,0,1770857368004.jpg
4.4227,152.8524,-1.0,177.9683,-1.0,160.5284,68.8913,65.152,-1.0,178.6356,0.163893,-0.22575,0.036308,0.086779,-1.388344,0.01764,-1.437645,0.00828,-1.422129,-0.046036,-1.363221,-0.060296,-1.34415,-0.12414,-1.015176,-0.030089,-0.978868,0.054979,-0.609216,0.044759,-0.398888,0.305977,-0.767864,0.294905,0.095775,-0.044511,-0.020612,0.044511,0.020612,0.074122,0.526263,0.076414,0.649501,0.055179,1.116363,0.085874,1.270717,0.010761,1.238071,0.020491,1.419548,0.282554,1.157379,0.427377,1.311551,0.8902,BIEN DE PIE,0,1770858868316.jpg
